"","periodo","provincia","provincia_id","departamento","departamento_id","municipio","municipio_id","titulares"
"1","2020-12-01","Buenos Aires",6,"25 de Mayo",6854,"25 De Mayo",68540854,379
"2","2020-12-01","Buenos Aires",6,"9 de Julio",6588,"9 De Julio",65880588,209
"3","2020-12-01","Buenos Aires",6,"Adolfo Alsina",6007,"Adolfo Alsina",60070007,346
"4","2020-12-01","Buenos Aires",6,"Adolfo Gonzales Chaves",6014,"Adolfo Gonzales Chaves",60140014,248
"5","2020-12-01","Buenos Aires",6,"Alberti",6021,"Alberti",60210021,139
"6","2020-12-01","Buenos Aires",6,"Almirante Brown",6028,"Almirante Brown",60280028,20469
"7","2020-12-01","Buenos Aires",6,"Arrecifes",6077,"Arrecifes",60770077,185
"8","2020-12-01","Buenos Aires",6,"Avellaneda",6035,"Avellaneda",60350035,12612
"9","2020-12-01","Buenos Aires",6,"Ayacucho",6042,"Ayacucho",60420042,250
"10","2020-12-01","Buenos Aires",6,"Azul",6049,"Azul",60490049,478
"11","2020-12-01","Buenos Aires",6,"Bahía Blanca",6056,"Bahia Blanca",60560056,1760
"12","2020-12-01","Buenos Aires",6,"Balcarce",6063,"Balcarce",60630063,281
"13","2020-12-01","Buenos Aires",6,"Baradero",6070,"Baradero",60700070,666
"14","2020-12-01","Buenos Aires",6,"Benito Juárez",6084,"Benito Juarez",60840084,124
"15","2020-12-01","Buenos Aires",6,"Berazategui",6091,"Berazategui",60910091,15524
"16","2020-12-01","Buenos Aires",6,"Berisso",6098,"Berisso",60980098,3967
"17","2020-12-01","Buenos Aires",6,"Bolívar",6105,"Bolivar",61050105,156
"18","2020-12-01","Buenos Aires",6,"Bragado",6112,"Bragado",61120112,446
"19","2020-12-01","Buenos Aires",6,"Brandsen",6119,"Brandsen",61190119,826
"20","2020-12-01","Buenos Aires",6,"Campana",6126,"Campana",61260126,1252
"21","2020-12-01","Buenos Aires",6,"Capitán Sarmiento",6140,"Capitan Sarmiento",61400140,28
"22","2020-12-01","Buenos Aires",6,"Carlos Casares",6147,"Carlos Casares",61470147,369
"23","2020-12-01","Buenos Aires",6,"Carlos Tejedor",6154,"Carlos Tejedor",61540154,48
"24","2020-12-01","Buenos Aires",6,"Carmen de Areco",6161,"Carmen De Areco",61610161,117
"25","2020-12-01","Buenos Aires",6,"Castelli",6168,"Castelli",61680168,94
"26","2020-12-01","Buenos Aires",6,"Cañuelas",6134,"Cañuelas",61340134,3278
"27","2020-12-01","Buenos Aires",6,"Chacabuco",6210,"Chacabuco",62100210,385
"28","2020-12-01","Buenos Aires",6,"Chascomús",6217,"Chascomus",62170217,741
"29","2020-12-01","Buenos Aires",6,"Chivilcoy",6224,"Chivilcoy",62240224,1172
"30","2020-12-01","Buenos Aires",6,"Colón",6175,"Colon",61750175,341
"31","2020-12-01","Buenos Aires",6,"Coronel Dorrego",6189,"Coronel Dorrego",61890189,254
"32","2020-12-01","Buenos Aires",6,"Coronel Pringles",6196,"Coronel Pringles",61960196,100
"33","2020-12-01","Buenos Aires",6,"Coronel Suárez",6203,"Coronel Suarez",62030203,50
"34","2020-12-01","Buenos Aires",6,"Coronel de Marina Leonardo Rosales",6182,"Coronel De Marina Leonardo Rosales",61820182,193
"35","2020-12-01","Buenos Aires",6,"Daireaux",6231,"Daireaux",62310231,69
"36","2020-12-01","Buenos Aires",6,"Dolores",6238,"Dolores",62380238,147
"37","2020-12-01","Buenos Aires",6,"Ensenada",6245,"Ensenada",62450245,3513
"38","2020-12-01","Buenos Aires",6,"Escobar",6252,"Escobar",62520252,5420
"39","2020-12-01","Buenos Aires",6,"Esteban Echeverría",6260,"Esteban Echeverria",62600260,11407
"40","2020-12-01","Buenos Aires",6,"Exaltación de la Cruz",6266,"Exaltacion De La Cruz",62660266,243
"41","2020-12-01","Buenos Aires",6,"Ezeiza",6270,"Ezeiza",62700270,6871
"42","2020-12-01","Buenos Aires",6,"Florencio Varela",6274,"Florencio Varela",62740274,28508
"43","2020-12-01","Buenos Aires",6,"Florentino Ameghino",6277,"Florentino Ameghino",62770277,130
"44","2020-12-01","Buenos Aires",6,"General Alvarado",6280,"General Alvarado",62800280,943
"45","2020-12-01","Buenos Aires",6,"General Alvear",6287,"General Alvear",62870287,31
"46","2020-12-01","Buenos Aires",6,"General Arenales",6294,"General Arenales",62940294,132
"47","2020-12-01","Buenos Aires",6,"General Belgrano",6301,"General Belgrano",63010301,107
"48","2020-12-01","Buenos Aires",6,"General Guido",6308,"General Guido",63080308,18
"49","2020-12-01","Buenos Aires",6,"General Juan Madariaga",6315,"General Juan Madariaga",63150315,129
"50","2020-12-01","Buenos Aires",6,"General La Madrid",6322,"General La Madrid",63220322,114
"51","2020-12-01","Buenos Aires",6,"General Las Heras",6329,"General Las Heras",63290329,503
"52","2020-12-01","Buenos Aires",6,"General Lavalle",6336,"General Lavalle",63360336,34
"53","2020-12-01","Buenos Aires",6,"General Paz",6343,"General Paz",63430343,371
"54","2020-12-01","Buenos Aires",6,"General Pinto",6351,"General Pinto",63510351,72
"55","2020-12-01","Buenos Aires",6,"General Pueyrredón",6357,"General Pueyrredon",63570357,14276
"56","2020-12-01","Buenos Aires",6,"General Rodríguez",6364,"General Rodriguez",63640364,3684
"57","2020-12-01","Buenos Aires",6,"General San Martín",6371,"General San Martin",63710371,12008
"58","2020-12-01","Buenos Aires",6,"General Viamonte",6385,"General Viamonte",63850385,209
"59","2020-12-01","Buenos Aires",6,"General Villegas",6392,"General Villegas",63920392,65
"60","2020-12-01","Buenos Aires",6,"Guaminí",6399,"Guamini",63990399,80
"61","2020-12-01","Buenos Aires",6,"Hipólito Yrigoyen",6406,"Hipolito Yrigoyen",64060406,77
"62","2020-12-01","Buenos Aires",6,"Hurlingham",6408,"Hurlingham",64080408,4187
"63","2020-12-01","Buenos Aires",6,"Ituzaingó",6410,"Ituzaingo",64100410,2988
"64","2020-12-01","Buenos Aires",6,"José C. Paz",6412,"Jose C. Paz",64120412,15376
"65","2020-12-01","Buenos Aires",6,"Junín",6413,"Junin",64130413,939
"66","2020-12-01","Buenos Aires",6,"La Costa",6420,"La Costa",64200420,1103
"67","2020-12-01","Buenos Aires",6,"La Matanza",6427,"La Matanza",64270427,50050
"68","2020-12-01","Buenos Aires",6,"La Plata",6441,"La Plata",64410441,27855
"69","2020-12-01","Buenos Aires",6,"Lanús",6434,"Lanus",64340434,12580
"70","2020-12-01","Buenos Aires",6,"Laprida",6448,"Laprida",64480448,29
"71","2020-12-01","Buenos Aires",6,"Las Flores",6455,"Las Flores",64550455,112
"72","2020-12-01","Buenos Aires",6,"Leandro N. Alem",6462,"Leandro N. Alem",64620462,217
"73","2020-12-01","Buenos Aires",6,"Lincoln",6469,"Lincoln",64690469,290
"74","2020-12-01","Buenos Aires",6,"Lobería",6476,"Loberia",64760476,131
"75","2020-12-01","Buenos Aires",6,"Lobos",6483,"Lobos",64830483,706
"76","2020-12-01","Buenos Aires",6,"Lomas de Zamora",6490,"Lomas De Zamora",64900490,23086
"77","2020-12-01","Buenos Aires",6,"Luján",6497,"Lujan",64970497,2162
"78","2020-12-01","Buenos Aires",6,"Magdalena",6505,"Magdalena",65050505,116
"79","2020-12-01","Buenos Aires",6,"Maipú",6511,"Maipu",65110511,89
"80","2020-12-01","Buenos Aires",6,"Malvinas Argentinas",6515,"Malvinas Argentinas",65150515,7224
"81","2020-12-01","Buenos Aires",6,"Mar Chiquita",6518,"Mar Chiquita",65180518,252
"82","2020-12-01","Buenos Aires",6,"Marcos Paz",6525,"Marcos Paz",65250525,2498
"83","2020-12-01","Buenos Aires",6,"Mercedes",6532,"Mercedes",65320532,1282
"84","2020-12-01","Buenos Aires",6,"Merlo",6539,"Merlo",65390539,10009
"85","2020-12-01","Buenos Aires",6,"Monte",6547,"Monte",65470547,105
"86","2020-12-01","Buenos Aires",6,"Monte Hermoso",6553,"Monte Hermoso",65530553,40
"87","2020-12-01","Buenos Aires",6,"Moreno",6560,"Moreno",65600560,16278
"88","2020-12-01","Buenos Aires",6,"Morón",6568,"Moron",65680568,4515
"89","2020-12-01","Buenos Aires",6,"Navarro",6574,"Navarro",65740574,680
"90","2020-12-01","Buenos Aires",6,"Necochea",6581,"Necochea",65810581,1130
"91","2020-12-01","Buenos Aires",6,"Olavarría",6595,"Olavarria",65950595,581
"92","2020-12-01","Buenos Aires",6,"Patagones",6602,"Patagones",66020602,657
"93","2020-12-01","Buenos Aires",6,"Pehuajó",6609,"Pehuajo",66090609,170
"94","2020-12-01","Buenos Aires",6,"Pellegrini",6616,"Pellegrini",66160616,32
"95","2020-12-01","Buenos Aires",6,"Pergamino",6623,"Pergamino",66230623,1208
"96","2020-12-01","Buenos Aires",6,"Pila",6630,"Pila",66300630,68
"97","2020-12-01","Buenos Aires",6,"Pilar",6638,"Pilar",66380638,6864
"98","2020-12-01","Buenos Aires",6,"Pinamar",6644,"Pinamar",66440644,222
"99","2020-12-01","Buenos Aires",6,"Presidente Perón",6648,"Presidente Peron",66480648,7026
"100","2020-12-01","Buenos Aires",6,"Punta Indio",6655,"Punta Indio",66550655,215
"101","2020-12-01","Buenos Aires",6,"Puán",6651,"Puan",66510651,38
"102","2020-12-01","Buenos Aires",6,"Quilmes",6658,"Quilmes",66580658,21007
"103","2020-12-01","Buenos Aires",6,"Ramallo",6665,"Ramallo",66650665,336
"104","2020-12-01","Buenos Aires",6,"Rauch",6672,"Rauch",66720672,123
"105","2020-12-01","Buenos Aires",6,"Rivadavia",6679,"Rivadavia",66790679,326
"106","2020-12-01","Buenos Aires",6,"Rojas",6686,"Rojas",66860686,178
"107","2020-12-01","Buenos Aires",6,"Roque Pérez",6693,"Roque Perez",66930693,199
"108","2020-12-01","Buenos Aires",6,"Saavedra",6700,"Saavedra",67000700,195
"109","2020-12-01","Buenos Aires",6,"Saladillo",6707,"Saladillo",67070707,107
"110","2020-12-01","Buenos Aires",6,"Salliqueló",6721,"Salliquelo",67210721,39
"111","2020-12-01","Buenos Aires",6,"Salto",6714,"Salto",67140714,187
"112","2020-12-01","Buenos Aires",6,"San Andrés de Giles",6728,"San Andres De Giles",67280728,379
"113","2020-12-01","Buenos Aires",6,"San Antonio de Areco",6735,"San Antonio De Areco",67350735,125
"114","2020-12-01","Buenos Aires",6,"San Cayetano",6742,"San Cayetano",67420742,39
"115","2020-12-01","Buenos Aires",6,"San Fernando",6749,"San Fernando",67490749,3279
